Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
35545031;0;38.129;MeasureUnit.M3;38.12899999999999778310666442848742008209228515625;2021-11-30;2021-12-15T12:19;20211215
35545031;0;42.261;MeasureUnit.M3;42.26100000000000278532752417959272861480712890625;2021-12-31;2022-01-15T09:36;202201
35545030;0;45.056;MeasureUnit.M3;45.0559999999999973852027324028313159942626953125;2021-11-30;2021-12-15T12:23;20211215
35545030;0;58.993;MeasureUnit.M3;58.99300000000000210320649784989655017852783203125;2021-12-31;2022-01-15T04:46;202201
35545028;0;34.783;MeasureUnit.M3;34.7830000000000012505552149377763271331787109375;2021-11-30;2021-12-15T12:33;20211215
35545028;0;50.097;MeasureUnit.M3;50.09700000000000130739863379858434200286865234375;2021-12-31;2022-01-15T05:12;202201
35545027;0;9.708;MeasureUnit.M3;9.7080000000000001847411112976260483264923095703125;2021-11-30;2021-12-15T11:13;20211215
35545027;0;14.687;MeasureUnit.M3;14.687000000000001165290086646564304828643798828125;2021-12-31;2022-01-15T11:59;202201
35511861;0;11.529;MeasureUnit.M3;11.528999999999999914734871708787977695465087890625;2021-11-30;2021-12-15T14:37;20211215
35511861;0;14.928;MeasureUnit.M3;14.928000000000000824229573481716215610504150390625;2021-12-31;2022-01-15T10:48;202201
26897568;0;0.836;MeasureUnit.M3;0.83599999999999996536104163169511593878269195556640625;2021-11-30;2021-12-15T11:20;20211215
26897561;0;25.582;MeasureUnit.M3;25.58200000000000073896444519050419330596923828125;2021-11-30;2021-12-15T10:53;20211215
26897561;0;37.807;MeasureUnit.M3;37.8070000000000021600499167107045650482177734375;2021-12-31;2022-01-15T03:30;202201
26897558;0;11.303;MeasureUnit.M3;11.303000000000000824229573481716215610504150390625;2021-11-30;2021-12-15T12:07;20211215
26897558;0;15.382;MeasureUnit.M3;15.3819999999999996731503415503539144992828369140625;2021-12-31;2022-01-15T09:16;202201
26897557;0;2.763;MeasureUnit.M3;2.7629999999999999005240169935859739780426025390625;2021-11-30;2021-12-15T10:56;20211215
26897557;0;3.939;MeasureUnit.M3;3.93900000000000005684341886080801486968994140625;2021-12-31;2022-01-15T10:54;202201
10372567;0;
