Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
93445909;0;1;MeasureUnit.HCA;0;2020-09-30;2021-12-06T05:02;20211206
93445908;0;92;MeasureUnit.HCA;0;2020-09-30;2021-11-10T07:12;20211110
93445908;0;102;MeasureUnit.HCA;0;2020-09-30;2021-11-12T08:41;20211112
93445908;0;97;MeasureUnit.HCA;0;2020-09-30;2021-11-11T08:01;20211111
93445908;0;88;MeasureUnit.HCA;0;2020-09-30;2021-11-09T07:49;20211109
93445908;0;112;MeasureUnit.HCA;0;2020-09-30;2021-11-15T07:29;20211115
93445908;0;104;MeasureUnit.HCA;0;2020-09-30;2021-11-13T08:30;20211113
93445908;0;118;MeasureUnit.HCA;0;2020-09-30;2021-11-16T08:48;20211116
93445908;0;121;MeasureUnit.HCA;0;2020-09-30;2021-11-17T07:34;20211117
93445908;0;126;MeasureUnit.HCA;0;2020-09-30;2021-11-17T23:24;20211118
93445908;0;134;MeasureUnit.HCA;0;2020-09-30;2021-11-20T07:28;20211120
93445908;0;129;MeasureUnit.HCA;0;2020-09-30;2021-11-18T23:36;20211119
93445908;0;134;MeasureUnit.HCA;0;2020-09-30;2021-11-20T07:28;20211120T22
93445908;0;140;MeasureUnit.HCA;0;2020-09-30;2021-11-21T00:46;20211121
93445908;0;147;MeasureUnit.HCA;0;2020-09-30;2021-11-22T08:48;20211122
93445908;0;152;MeasureUnit.HCA;0;2020-09-30;2021-11-23T07:28;20211123
93445908;0;159;MeasureUnit.HCA;0;2020-09-30;2021-11-25T08:30;20211125
93445908;0;164;MeasureUnit.HCA;0;2020-09-30;2021-11-26T08:40;20211126
93445908;0;170;MeasureUnit.HCA;0;2020-09-30;2021-11-27T08:00;20211127
93445908;0;178;MeasureUnit.HCA;0;2020-09-30;2021-11-28T07:49;20211128
93445908;0;188;MeasureUnit.HCA;0;2020-09-30;2021-11-29T07:55;20211129
93445908;0;199;MeasureUnit.HCA;0;2020-09-30;2021-11-30T07:51;20211130
93445908;0;207;MeasureUnit.HCA;0;2020-09-30;2021-12-01T08:36;20211201
93445908;0;207;MeasureUnit.HCA;0;2020-09-30;2021-12-01T08:36;202112
93445908;0;225;MeasureUnit.HCA;0;2020-09-30;2021-12-03T07:50;20211203
93445908;0;250;MeasureUnit.HCA;0;2020-09-30;2021-12-06T09:18;20211206
93445907;0;47;MeasureUnit.HCA;0;2020-09-30;2021-11-10T02:47;20211110
93445907;0;54;MeasureUnit.HCA;0;2020-09-30;2021-11-12T03:23;20211112
93445907;0;54;MeasureUnit.HCA;0;2020-09-30;2021-11-11T19:47;20211111
93445907;0;46;MeasureUnit.HCA;0;2020-09-30;2021-11-09T18:15;20211109
93445907;0;65;MeasureUnit.HCA;0;2020-09-30;2021-11-15T02:16;20211115
93445907;0;59;MeasureUnit.HCA;0;2020-09-30;2021-11-13T19:13;20211113
93445907;0;69;MeasureUnit.HCA;0;2020-09-30;2021-11-16T02:43;20211116
93445907;0;76;MeasureUnit.HCA;0;2020-09-30;2021-11-17T18:45;20211117
93445907;0;76;MeasureUnit.HCA;0;2020-09-30;2021-11-18T02:16;20211118
93445907;0;82;MeasureUnit.HCA;0;2020-09-30;2021-11-20T03:52;20211120
93445907;0;79;MeasureUnit.HCA;0;2020-09-30;2021-11-19T03:13;20211119
93445907;0;85;MeasureUnit.HCA;0;2020-09-30;2021-11-20T19:34;20211120T22
93445907;0;85;MeasureUnit.HCA;0;2020-09-30;2021-11-20T19:34;20211121
93445908;0;147;MeasureUnit.HCA;0;2020-09-30;2021-11-22T08:48;20211122
93445907;0;94;MeasureUnit.HCA;0;2020-09-30;2021-11-23T02:53;20211123
93445907;0;105;MeasureUnit.HCA;0;2020-09-30;2021-11-25T20:11;20211125
93445907;0;105;MeasureUnit.HCA;0;2020-09-30;2021-11-26T03:33;20211126
93445907;0;109;MeasureUnit.HCA;0;2020-09-30;2021-11-27T03:38;20211127
93445907;0;113;MeasureUnit.HCA;0;2020-09-30;2021-11-28T02:37;20211128
93445907;0;117;MeasureUnit.HCA;0;2020-09-30;2021-11-29T03:27;20211129
93445907;0;121;MeasureUnit.HCA;0;2020-09-30;2021-11-30T03:25;20211130
93445907;0;124;MeasureUnit.HCA;0;2020-09-30;2021-12-01T03:16;20211201
93445907;0;124;MeasureUnit.HCA;0;2020-09-30;2021-12-01T03:16;202112
93445907;0;133;MeasureUnit.HCA;0;2020-09-30;2021-12-03T03:31;20211203
93445907;0;141;MeasureUnit.HCA;0;2020-09-30;2021-12-06T03:11;20211206
93445906;0;144;MeasureUnit.HCA;0;2020-09-30;2021-11-10T03:20;20211110
93445906;0;155;MeasureUnit.HCA;0;2020-09-30;2021-11-12T04:28;20211112
93445906;0;153;MeasureUnit.HCA;0;2020-09-30;2021-11-11T19:46;20211111
93445906;0;143;MeasureUnit.HCA;0;2020-09-30;2021-11-09T19:52;20211109
93445906;0;172;MeasureUnit.HCA;0;2020-09-30;2021-11-15T03:51;20211115
93445906;0;160;MeasureUnit.HCA;0;2020-09-30;2021-11-13T03:40;20211113
93445906;0;178;MeasureUnit.HCA;0;2020-09-30;2021-11-16T03:58;20211116
93445906;0;189;MeasureUnit.HCA;0;2020-09-30;2021-11-17T19:21;20211117
93445906;0;191;MeasureUnit.HCA;0;2020-09-30;2021-11-18T03:50;20211118
93445906;0;204;MeasureUnit.HCA;0;2020-09-30;2021-11-20T03:57;20211120
93445906;0;195;MeasureUnit.HCA;0;2020-09-30;2021-11-18T19:28;20211119
93445906;0;210;MeasureUnit.HCA;0;2020-09-30;2021-11-20T20:32;20211120T22
93445906;0;210;MeasureUnit.HCA;0;2020-09-30;2021-11-20T20:32;20211121
93445907;0;90;MeasureUnit.HCA;0;2020-09-30;2021-11-22T02:44;20211122
93445906;0;224;MeasureUnit.HCA;0;2020-09-30;2021-11-23T03:13;20211123
93445906;0;247;MeasureUnit.HCA;0;2020-09-30;2021-11-25T19:55;20211125
93445906;0;248;MeasureUnit.HCA;0;2020-09-30;2021-11-26T04:33;20211126
93445906;0;256;MeasureUnit.HCA;0;2020-09-30;2021-11-27T03:36;20211127
93445906;0;263;MeasureUnit.HCA;0;2020-09-30;2021-11-28T03:45;20211128
93445906;0;271;MeasureUnit.HCA;0;2020-09-30;2021-11-29T02:55;20211129
93445906;0;280;MeasureUnit.HCA;0;2020-09-30;2021-11-30T03:49;20211130
93445906;0;288;MeasureUnit.HCA;0;2020-09-30;2021-12-01T04:49;20211201
93445906;0;288;MeasureUnit.HCA;0;2020-09-30;2021-12-01T04:49;202112
93445906;0;306;MeasureUnit.HCA;0;2020-09-30;2021-12-03T03:07;20211203
93445906;0;330;MeasureUnit.HCA;0;2020-09-30;2021-12-06T04:36;20211206
93445905;0;55;MeasureUnit.HCA;0;2020-09-30;2021-11-10T04:13;20211110
