sep=;
Nome del  programma;Data ed ora di lettura;Indirizzo radio;Info;Errore (codice) ;Cod. identificazione ;Matricola fabbricante;Versione contatore;Tipo del dispositivo;Stato ;Totalizzatore valore attuale;Unità totalizzate al giorno di memoriz.;Unità memorizzate prima dell'azzeramento;Flags e RSSI;Manomissione in corso;Errore di temperatura;Errore elettronico;RSSI;Valore mensile - 1;Valore mensile - 2;Valore mensile - 3;Valore mensile - 4;Valore mensile - 5;Valore mensile - 6;Valore mensile - 7;Valore mensile - 8;Valore mensile - 9;Valore mensile - 10;Valore mensile - 11;Valore mensile - 12;Valore mensile - 13;Valore mensile - 14;Valore mensile - 15;Valore mensile - 16;Valore mensile - 17;Valore mensile - 18;Valore mensile - 0.5 (-19);Valore mensile - 1.5 (-20);Valore mensile - 2.5 (-21);Valore mensile - 3.5 (-22);Valore mensile - 4.5 (-23);Valore mensile - 5.5 (-24);Valore mensile - 6.5 (-25);Valore mensile - 7.5 (-26);Valore mensile - 8.5 (-27);Valore mensile - 9.5 (-28);Valore mensile - 10.5 (-29);Valore mensile - 11.5 (-30);Valore mensile - 12.5 (-31);Valore mensile - 13.5 (-32);Valore mensile - 14.5 (-33);Valore mensile - 15.5 (-34);Valore mensile - 16.5 (-35);Valore mensile - 17.5 (-36);Data ultima manomissione;Data di messa in servizio;Durata manomissione [min];Temp. radiatore;Temp. ambiente;Temp. max. radiatore periodo attuale;Temp. max radiatore periodo precedente;Data ed ora del dispositivo;N° di serie;Giorno di memorizzazione;Fattore Kc x Kq;Periodo dei valori memorizzati in 19-36;Versione software ;
Son556-Supercom;06/05/2022 09.59.57;13110515;;Lettura OK;13110515;SON;16;Heat cost allocator;0;0;162;162;16;No;No;No;-100 dBm;0;150;127;100;72;43;14;1;1;1;1;1;0;172;147;118;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,8;16,1;20,8;44,72;06/05/2022 08.59;13110515;30/04;1,5836399;;1.08;
Son556-Supercom;06/05/2022 10.00.01;13110516;;Lettura OK;13110516;SON;16;Heat cost allocator;0;0;2616;2616;16;No;No;No;-100 dBm;0;2392;2052;1666;1117;580;211;63;63;63;63;63;8;2318;1940;1554;;;;;;;;;;;;;;;;;;;;;20/10/2021;;1;19,72;17,05;20,78;65,89;06/05/2022 08.59;13110516;30/04;3,9728796;;1.08;
Son556-Supercom;06/05/2022 10.00.04;13110517;;Lettura OK;13110517;SON;16;Heat cost allocator;0;0;1559;1559;16;No;No;No;-100 dBm;0;1435;1220;989;673;351;132;13;13;13;13;13;4;1531;1299;1060;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,1;16,79;20,7;65,14;06/05/2022 09.00;13110517;30/04;2,52068;;1.08;
Son556-Supercom;06/05/2022 10.00.08;13110518;;Lettura OK;13110518;SON;16;Heat cost allocator;0;0;2162;2162;32;No;No;No;-90 dBm;0;2003;1704;1329;787;285;20;8;8;8;8;8;0;3230;2757;2280;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,51;16,31;20,67;66,97;06/05/2022 09.00;13110518;30/04;5,00532;;1.08;
Son556-Supercom;06/05/2022 10.00.11;13110519;;Lettura OK;13110519;SON;16;Heat cost allocator;0;0;907;907;32;No;No;No;-90 dBm;0;848;712;580;380;213;89;19;19;19;19;19;2;683;570;479;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,41;15,8;20,81;64,32;06/05/2022 09.00;13110519;30/04;1,5899999;;1.08;
Son556-Supercom;06/05/2022 10.00.15;13110520;;Lettura OK;13110520;SON;16;Heat cost allocator;0;0;2016;2016;32;No;No;No;-90 dBm;0;1938;1698;1419;960;531;198;49;49;49;49;49;8;1548;1291;1046;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,04;15,04;20,9;65,42;06/05/2022 09.00;13110520;30/04;3,5743198;;1.08;
Son556-Supercom;06/05/2022 10.00.19;13110521;;Lettura OK;13110521;SON;16;Heat cost allocator;0;0;835;835;48;No;No;No;-80 dBm;0;775;646;535;377;210;73;25;25;25;25;25;2;710;628;522;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,64;15,92;20,53;65,55;06/05/2022 09.00;13110521;30/04;1,8995199;;1.08;
Son556-Supercom;06/05/2022 10.00.22;13110522;;Lettura OK;13110522;SON;16;Heat cost allocator;0;0;1540;1540;48;No;No;No;-80 dBm;0;1428;1239;1036;721;351;127;32;32;32;32;32;5;1545;1320;1085;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,87;17,13;21;66,93;06/05/2022 09.00;13110522;30/04;2,16432;;1.08;
Son556-Supercom;06/05/2022 10.00.26;13110523;;Lettura OK;13110523;SON;16;Heat cost allocator;0;0;938;938;16;No;No;No;-100 dBm;0;838;652;508;314;150;61;32;32;32;32;32;4;612;467;349;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;20,81;18,23;22,14;62,69;06/05/2022 09.00;13110523;30/04;2,85776;;1.08;
Son556-Supercom;06/05/2022 10.00.29;13121187;;Lettura OK;13121187;SON;16;Heat cost allocator;0;0;1265;1265;16;No;No;No;-100 dBm;0;1155;971;796;520;257;74;0;0;0;0;0;0;146;143;137;;;;;;;;;;;;;;;;;;;;;01/01/2000;;4;20,56;17,43;22,06;59,46;06/05/2022 09.00;13121187;30/04;2,9376001;;1.08;
Son556-Supercom;06/05/2022 10.00.33;13121189;;Lettura OK;13121189;SON;16;Heat cost allocator;0;0;939;939;16;No;No;No;-100 dBm;0;902;775;647;431;218;94;28;28;28;28;28;4;1268;1102;869;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,39;16,39;20,79;64,92;06/05/2022 09.00;13121189;30/04;1,5899999;;1.08;
Son556-Supercom;06/05/2022 10.00.37;13121190;;Lettura OK;13121190;SON;16;Heat cost allocator;0;0;920;920;32;No;No;No;-90 dBm;0;912;891;774;575;291;66;0;0;0;0;0;0;1442;1381;1183;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,8;16,13;21,5;66,79;06/05/2022 09.00;13121190;30/04;3,648;;1.08;
Son556-Supercom;06/05/2022 10.00.40;13121191;;Lettura OK;13121191;SON;16;Heat cost allocator;0;0;119;119;16;No;No;No;-100 dBm;0;119;118;105;47;2;0;0;0;0;0;0;0;15;13;12;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,73;17,25;20,75;60,74;06/05/2022 09.00;13121191;30/04;2,468;;1.08;
Son556-Supercom;06/05/2022 10.00.44;13121192;;Lettura OK;13121192;SON;16;Heat cost allocator;0;0;2286;2286;16;No;No;No;-100 dBm;0;2097;1679;1324;929;437;129;5;5;5;5;5;1;2284;1974;1611;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,07;15,94;20,85;65,66;06/05/2022 09.00;13121192;30/04;3,648;;1.08;
